127.0.0.1 - - [17/Oct/2016:15:10:16 +0530] "GET / HTTP/1.1" 404 951
10.244.0.10 - - [17/Oct/2016:15:30:05 +0530] "POST /fidouaf_test/v1/public/enablePushNotifications HTTP/1.1" 200 42
10.244.48.148 - - [17/Oct/2016:15:31:48 +0530] "POST /fidouaf_test/v1/public/appRegRequest HTTP/1.1" 200 44
10.244.0.10 - - [17/Oct/2016:15:31:48 +0530] "POST /fidouaf_test/v1/public/verifyQRContents HTTP/1.1" 200 38
10.244.0.10 - - [17/Oct/2016:15:31:50 +0530] "GET /fidouaf_test/v1/public/regRequest/215 HTTP/1.1" 200 6034
10.244.48.148 - - [17/Oct/2016:15:39:06 +0530] "POST /fidouaf_test/v1/public/appRegRequest HTTP/1.1" 200 44
10.244.0.10 - - [17/Oct/2016:15:39:07 +0530] "POST /fidouaf_test/v1/public/verifyQRContents HTTP/1.1" 200 38
10.244.0.10 - - [17/Oct/2016:15:39:09 +0530] "GET /fidouaf_test/v1/public/regRequest/216 HTTP/1.1" 200 6034
10.244.0.10 - - [17/Oct/2016:15:39:45 +0530] "POST /fidouaf_test/v1/public/regResponse HTTP/1.1" 200 4631
10.244.48.148 - - [17/Oct/2016:15:46:44 +0530] "POST /fidouaf_test/v1/public/appRegRequest HTTP/1.1" 200 44
10.244.0.10 - - [17/Oct/2016:15:46:45 +0530] "POST /fidouaf_test/v1/public/verifyQRContents HTTP/1.1" 200 38
10.244.0.10 - - [17/Oct/2016:15:46:46 +0530] "GET /fidouaf_test/v1/public/regRequest/217 HTTP/1.1" 200 6034
10.244.0.10 - - [17/Oct/2016:15:47:11 +0530] "POST /fidouaf_test/v1/public/regResponse HTTP/1.1" 200 2322
10.244.0.10 - - [17/Oct/2016:15:47:40 +0530] "GET /fidouaf_test/v1/public/authRequest/ZDNkM0xtWnBaRzl3WlhKemFYTjBaVzUwTG5CemJHSmhibXN1YVc5emJXOWlhV3hsTG1OdmJRPT0=/VUd4bFlYTmxJSEJ5YjNacFpHVWdZWEJ3Y205MllXd2dabTl5SUhSeVlXNXpZV04wYVc5dUlHOW1JRkp6TGpJd01EQWdkRzkzWVhKa2N5QkZiR1ZqZEhKcFkza2dRbWxzYkNCUVlYbHRaVzUw HTTP/1.1" 200 3633
10.244.0.10 - - [17/Oct/2016:15:48:08 +0530] "GET /fidouaf_test/v1/public/authRequest/ZDNkM0xtWnBaRzl3WlhKemFYTjBaVzUwTG5CemJHSmhibXN1YVc5emJXOWlhV3hsTG1OdmJRPT0=/VUd4bFlYTmxJSEJ5YjNacFpHVWdZWEJ3Y205MllXd2dabTl5SUhSeVlXNXpZV04wYVc5dUlHOW1JRkp6TGpJd01EQWdkRzkzWVhKa2N5QkZiR1ZqZEhKcFkza2dRbWxzYkNCUVlYbHRaVzUw HTTP/1.1" 200 3633
10.244.0.10 - - [17/Oct/2016:15:48:12 +0530] "POST /fidouaf_test/v1/public/authResponse HTTP/1.1" 200 163
10.244.0.10 - - [17/Oct/2016:15:48:16 +0530] "GET /fidouaf_test/v1/public/authRequest/ZDNkM0xtWnBaRzl3WlhKemFYTjBaVzUwTG5CemJHSmhibXN1YVc5emJXOWlhV3hsTG1OdmJRPT0=/VUd4bFlYTmxJSEJ5YjNacFpHVWdZWEJ3Y205MllXd2dabTl5SUhSeVlXNXpZV04wYVc5dUlHOW1JRkp6TGpJd01EQWdkRzkzWVhKa2N5QkZiR1ZqZEhKcFkza2dRbWxzYkNCUVlYbHRaVzUw HTTP/1.1" 200 3633
10.244.0.10 - - [17/Oct/2016:15:48:19 +0530] "POST /fidouaf_test/v1/public/authResponse HTTP/1.1" 200 163
10.244.48.148 - - [17/Oct/2016:15:50:23 +0530] "POST /fidouaf_test/v1/public/appRegRequest HTTP/1.1" 200 44
10.244.0.10 - - [17/Oct/2016:15:50:24 +0530] "POST /fidouaf_test/v1/public/verifyQRContents HTTP/1.1" 200 38
10.244.0.10 - - [17/Oct/2016:15:50:25 +0530] "GET /fidouaf_test/v1/public/regRequest/218 HTTP/1.1" 200 6034
10.244.0.10 - - [17/Oct/2016:15:50:33 +0530] "POST /fidouaf_test/v1/public/regResponse HTTP/1.1" 200 2322
